School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %,Dist From Melbourne Centre (m)
Lavers Hill K-12 College,Lavers Hill,Combined,Gov,Outer Regional,-38.6818,143.38299999999998,11,100.0,0,0.0,207392
Laverton P-12 College,Laverton,Combined,Gov,Major Cities,-37.8562,144.773,22,96.4,22,0.0,20328
Leibler Yavneh College,Elsternwick,Combined,Non-Gov,Major Cities,-37.8929,145.007,9,92.1,37,29.4,11402
Leongatha Secondary College,Leongatha,Secondary,Gov,Inner Regional,-38.4787,145.961,28,84.7,27,1.3,136951
Lighthouse Christian College,Keysborough,Combined,Non-Gov,Major Cities,-38.0011,145.143,8,97.5,30,6.6,40660
Lilydale Heights College,Lilydale,Secondary,Gov,Major Cities,-37.7458,145.341,24,73.7,23,0.5,41700
Lilydale High School,Lilydale,Secondary,Gov,Major Cities,-37.7607,145.345,28,51.3,27,2.4,41340
Little Yarra Steiner School,Yarra Junction,Combined,Non-Gov,Inner Regional,-37.7944,145.631,0,57.1,32,5.6,69294
Loreto College,Ballarat,Secondary,Non-Gov,Inner Regional,-37.5569,143.82299999999998,23,82.4,31,10.9,122695
Loreto Mandeville Hall,Toorak,Combined,Non-Gov,Major Cities,-37.8482,145.015,4,98.0,35,24.7,8283
Lorne P-12 College,Lorne,Combined,Gov,Inner Regional,-38.5392,143.974,1,69.2,27,4.3,140988
Lowanna College,Newborough,Secondary,Gov,Inner Regional,-38.1767,146.286,29,53.1,25,1.6,140239
Loyola College,Watsonia,Secondary,Non-Gov,Major Cities,-37.7034,145.08100000000002,18,94.0,30,5.1,21272
Lynall Hall Community School,Richmond,Secondary,Gov,Major Cities,-37.8165,145.002,10,100.0,0,0.0,4082
Lyndale Secondary College,Dandenong North,Secondary,Gov,Major Cities,-37.9578,145.207,24,90.8,28,2.9,34321
Lyndhurst Secondary College,Cranbourne,Secondary,Gov,Major Cities,-38.075,145.27100000000002,26,63.6,28,4.0,46426
Macleod College,Macleod,Combined,Gov,Major Cities,-37.7247,145.072,15,87.0,26,0.4,19247
Maffra Secondary College,Maffra,Secondary,Gov,Inner Regional,-37.9649,146.982,11,77.1,28,6.5,221548
Mallacoota P-12 College,Mallacoota,Combined,Gov,Remote,-37.5594,149.754,3,41.7,31,2.6,514481
Manangatang P-12 College,Manangatang,Combined,Gov,Outer Regional,-35.0562,142.885,1,0.0,0,0.0,412362
Manor Lakes P-12 College,Wyndham Vale,Combined,Gov,Major Cities,-37.8742,144.602,33,48.0,23,0.2,38148
Mansfield Secondary College,Mansfield,Secondary,Gov,Outer Regional,-37.0627,146.089,15,51.7,29,7.1,189525
Maranatha Christian School,Endeavour Hills,Combined,Non-Gov,Major Cities,-37.9709,145.278,11,82.6,32,6.8,37931
Marcellin College,Bulleen,Secondary,Non-Gov,Major Cities,-37.7748,145.083,15,91.1,30,8.5,14147
Marist College Bendigo,Maiden Gully,Combined,Non-Gov,Inner Regional,-36.7317,144.222,10,82.6,27,2.0,156108
Maryborough Education Centre,Maryborough,Combined,Gov,Inner Regional,-37.0418,143.72299999999998,26,81.8,26,0.6,172630
Marymede Catholic College,South Morang,Combined,Non-Gov,Major Cities,-37.6433,145.091,27,94.2,30,4.1,42863
Mater Christi College,Belgrave,Secondary,Non-Gov,Major Cities,-37.9106,145.359,25,93.3,32,12.7,48817
Mazenod College,Mulgrave,Secondary,Non-Gov,Major Cities,-37.9152,145.166,24,92.8,32,11.0,25579
McClelland Secondary College,Frankston,Secondary,Gov,Major Cities,-38.1467,145.158,32,56.3,29,3.6,55573
Mckinnon Secondary College,Mckinnon,Secondary,Gov,Major Cities,-37.912,145.049,14,94.1,32,12.6,19017
Melbourne Girls Grammar,South Yarra,Combined,Non-Gov,Major Cities,-37.8353,144.989,4,95.6,34,18.4,4468
Melbourne Grammar School,Melbourne,Combined,Non-Gov,Major Cities,-37.8335,144.976,5,96.9,35,24.5,3296
Melbourne High School,South Yarra,Secondary,Gov,Major Cities,-37.8368,144.995,10,98.1,36,30.2,4862
Melton Christian College,Brookfield,Combined,Non-Gov,Major Cities,-37.701,144.56,14,77.4,26,1.4,45709
Melton Secondary College,Melton,Secondary,Gov,Major Cities,-37.6824,144.567,23,75.3,27,1.0,45380
Mentone Girls' Grammar School,Mentone,Combined,Non-Gov,Major Cities,-37.9894,145.065,5,100.0,34,19.5,29617
Mentone Grammar School,Mentone,Combined,Non-Gov,Major Cities,-37.9877,145.06799999999998,24,94.2,34,19.9,29285
Mercy Regional College,Camperdown,Secondary,Non-Gov,Inner Regional,-38.2341,143.141,13,58.7,27,1.4,191771
Mernda Central P-12 College,Mernda,Combined,Gov,Major Cities,-37.604,145.088,11,0.0,33,5.3,45408
Mildura Senior College,Mildura,Secondary,Gov,Outer Regional,-34.198,142.145,34,59.2,26,1.7,543761
Minaret College,Springvale,Combined,Non-Gov,Major Cities,-37.938629999999996,145.149,0,97.6,28,3.6,28816
Monbulk College,Monbulk,Secondary,Gov,Major Cities,-37.8832,145.428,34,51.6,27,4.0,61441
Monivae College,Hamilton,Secondary,Non-Gov,Inner Regional,-37.742,142.049,16,62.7,28,3.5,304089
Monterey Secondary College,Frankston North,Secondary,Gov,Major Cities,-38.1267,145.148,16,63.6,28,0.0,54299
Mooroolbark College,Mooroolbark,Secondary,Gov,Major Cities,-37.7751,145.314,28,61.2,28,5.1,37606
Mordialloc College,Mordialloc,Secondary,Gov,Major Cities,-38.0123,145.092,31,88.7,28,6.7,32176
Mornington Secondary College,Mornington,Secondary,Gov,Major Cities,-38.2183,145.059,28,57.5,28,2.9,71958
Mount Clear College,Mount Clear,Secondary,Gov,Inner Regional,-37.6074,143.877,25,45.1,27,0.3,116675
Mount Evelyn Christian School,Mount Evelyn,Combined,Non-Gov,Major Cities,-37.7988,145.36700000000002,15,60.0,28,4.7,41688
Mount Lilydale Mercy College,Lilydale,Secondary,Non-Gov,Major Cities,-37.7508,145.358,29,81.3,30,4.0,43214
Mount Ridley P-12 College,Craigieburn,Combined,Gov,Major Cities,-37.5803,144.923,24,79.6,25,2.0,44061
Mount Rowan Secondary College,Wendouree,Secondary,Gov,Inner Regional,-37.5199,143.834,20,60.0,29,0.0,119329
Mount Scopus Memorial College,Burwood,Combined,Non-Gov,Major Cities,-37.8472,145.118,14,97.4,36,31.9,17568
Mount St Joseph Girls' College,Altona,Secondary,Non-Gov,Major Cities,-37.8639,144.812,14,95.8,31,6.5,19085
Mt Hira College,Keysborough,Combined,Non-Gov,Major Cities,-38.014,145.175,3,100.0,31,5.0,39519
Murrayville Community College,Murrayville,Combined,Gov,Remote,-35.2656,141.17700000000002,1,50.0,28,0.0,540682
Myrtleford P-12 College,Myrtleford,Combined,Gov,Inner Regional,-36.5489,146.726,11,72.7,28,0.0,292112
Nagle College,Bairnsdale,Secondary,Non-Gov,Outer Regional,-37.8371,147.588,17,63.4,28,2.6,278005
Nathalia Secondary College,Nathalia,Secondary,Gov,Inner Regional,-36.0599,145.208,12,33.3,25,0.0,233285
